Ruta,Ruta_lat,Ruta_lon,Ruta_pais,Ruta_continente
"1,200 miles off Dakar, Atlantic Ocean",14.7167,-17.4677,Atlantic Ocean,Atlantic Ocean
"110 miles SW of Sochi, Russia",43.6028,39.7342,Russia,Europe
"125 miles ENE of Tokyo, Japan",35.6895,139.6917,Japan,Asia
175 miles off the Egyptian coast,30.0444,31.2357,Egypt,Africa
"200 miles NE of Derby, Australia",-17.3178,123.6493,Australia,Oceania
"25 nm off Agrigento, Italy",37.3104,13.5846,Italy,Europe
"250 miles northwest of Kathmandu, Nepal",28.3949,82.1959,Nepal,Asia
"300 nm NW of San Francisco, California",38.7597,-123.1245,United States,Americas
"81 miles SW o fShahre Kurd, Iran",33.5919,46.6522,Iran,Asia
"900 miles E of Honolulu, Hawaii, Pacific Ocean",21.3056,-157.8583,Pacific Ocean,Pacific Ocean
"950 nm S of  Shemya, Alaska",52.7119,174.1136,United States,Americas
"Abakan, Siberia, Russia",53.7212,91.4424,Russia,Europe
"Aberdeen, South Dakota",45.4642,-98.468,United States,Americas
"Abidjan, Ivory Coast",5.3599,-4.0083,Ivory Coast,Africa
"Abilene, Texas",32.4487,-99.7331,United States,Americas
"Abruzzio Mountains, Italy",42.3356,13.7267,Italy,Europe
"Abuja, Nigeria",9.0579,7.4951,Nigeria,Africa
"Abéché, Chad",13.8346,20.8347,Chad,Africa
"Accra, Ghana",5.6037,-0.187,Ghana,Africa
"Adak, Alaska",51.88,-176.6581,United States,Americas
"Adar Yeil, Sudan",17.0019,24.2669,Sudan,Africa
"Addis Ababa, Ethiopia",9.0247,38.7469,Ethiopia,Africa
"Adelaide Hills, Australia",-34.9629,138.7134,Australia,Oceania
"Aden, Yemen",12.802,45.0418,Yemen,Asia
"Adraskan district, Afghanistan",33.6464,61.0975,Afghanistan,Asia
Aegean Sea,37.4046,25.355,Greece,Europe
Afghanistan,33.9391,67.71,Afghanistan,Asia
"Agana, Guam",13.4701,144.7516,Guam,Oceania
"Agana, Guam, Mariana Islands",13.4701,144.7516,Guam,Oceania
"Agartala, India",23.8315,91.2868,India,Asia
"Aguelhok, Mali",19.4543,0.8561,Mali,Africa
"Ajaccio, France",41.9192,8.7386,France,Europe
"Akkajaure Lake, Norrbotten, Sweden",67.3875,17.7556,Sweden,Europe
"Akron, Ohio",41.0814,-81.519,United States,Americas
"Akshi, Russia",42.6021,47.6006,Russia,Europe
"Al Mayadin, Syria",35.0167,40.4531,Syria,Asia
Alaska,63.5887,-154.4931,United States,Americas
"Albacete, Spain",38.9942,-1.8585,Spain,Europe
Albania,41.1533,20.1683,Albania,Europe
"Albany, New York",42.6526,-73.7562,United States,Americas
"Alberno Canal, BC, Canada",49.55,-125.0,Canada,Americas
"Albuquerque, New Mexico",35.0844,-106.6504,United States,Americas
"Aleppo, Syria",36.2021,37.1343,Syria,Asia
Algeria,28.0339,1.6596,Algeria,Africa
Algiers,36.7538,3.0588,Algeria,Africa
"Algiers Airport, Algeria",36.691,3.2168,Algeria,Africa
"Algiers, Algeria",36.7538,3.0588,Algeria,Africa
"Algrete, Brazil",-30.2886,-55.1041,Brazil,Americas
"Alicante, Spain",38.3452,-0.481,Spain,Europe
"Alma, Georgia",31.5334,-82.4633,United States,Americas
"Alma-Ata, Kazakhstan",43.222,76.8512,Kazakhstan,Asia
"Almaty, Kazakhstan",43.222,76.8512,Kazakhstan,Asia
"Almelund, Minnisota",45.4437,-92.774,United States,Americas
"Almeria, Spain",36.834,-2.4637,Spain,Europe
"Alpena, Michigan",45.0617,-83.4328,United States,Americas
"Alsworth, Alaska",60.2552,-154.9653,United States,Americas
"Altenkirchen, Germany",50.6515,7.6526,Germany,Europe
"Alvarado, California",34.4234,-119.7585,United States,Americas
"Amarillo, Texas",35.222,-101.8313,United States,Americas
"Amazonia, Missouri",39.9976,-94.7848,United States,Americas
"Amazonia, Montana",48.1775,-115.015,United States,Americas
"Ambato, Ecuador",-1.2491,-78.6168,Ecuador,Americas
"Ameland Island, North Sea",53.4433,5.6731,Netherlands,Europe
"Amemeca, Mexico",20.2812,-103.9855,Mexico,Americas
"Ameur el Ain, Algeria",35.6949,5.4436,Algeria,Africa
"Amman, Jordan",31.9454,35.9284,Jordan,Asia
"Amoneburg, Germany",50.7989,8.8047,Germany,Europe
"Ampisibil Village, Indonesia",-9.4491,118.0243,Indonesia,Asia
"Amritsar, India / Kandahar, Afghanistan",31.633,74.8723,India,Asia
"Amsterdam, Netherlands",52.3667,4.8945,Netherlands,Europe
"An Khe, South Vietnam",13.963,108.676,Vietnam,Asia
"An Khe, Vietnam",14.2567,108.9735,Vietnam,Asia
"Anchieta Island, Brazil",-23.1357,-45.8432,Brazil,Americas
"Anchor Point, Alaska",59.7748,-151.7807,United States,Americas
"Anchorage, Alaska",61.2181,-149.9003,United States,Americas
"Andapa, Madagascar",-14.6513,49.6162,Madagascar,Africa
"Andema, Russia",69.7925,61.9119,Russia,Europe
"Anderma, Russia",65.8926,44.0608,Russia,Europe
Andes,-32.222,-69.8571,Argentina,Americas
"Andes Mountains, Ecuador",-0.8262,-78.4907,Ecuador,Americas
"Andes, Argentina",-32.222,-69.8571,Argentina,Americas
"Andoas, Peru",-2.9245,-76.4104,Peru,Americas
"Angelholm, Sweden",56.2427,12.8623,Sweden,Europe
Angola,-11.2027,17.8739,Angola,Africa
"Anjouan, Comoros Islands",-12.2528,44.5315,Comoros,Africa
"Ankara, Turkey",39.9334,32.8597,Turkey,Asia
"Annette Island, Alaska",55.0442,-131.5722,United States,Americas
"Ansbach, Germany",49.3033,10.572,Germany,Europe
"Antananarivo, Madagascar",-18.8792,47.5079,Madagascar,Africa
Antigua,17.0732,-61.887,Antigua and Barbuda,Americas
"Anzio, Italy",41.4486,12.6276,Italy,Europe
"Apeldoorn, The Netherlands",52.2112,5.9699,Netherlands,Europe
"Apolo, Bolivia",-14.7211,-68.4147,Bolivia,Americas
"Aponguao Falls, Venezuela",5.1804,-62.6067,Venezuela,Americas
"Appleton, Wisconsin",44.2619,-88.4154,United States,Americas
"Apuseni mountains, Romania",46.6047,22.8866,Romania,Europe
"Aracaju, Brazil",-10.9472,-37.0731,Brazil,Americas
"Aracatuba, Brazil",-21.2076,-50.4329,Brazil,Americas
"Arar, Saudi Arabia",30.978,41.0384,Saudi Arabia,Asia
"Archerfield Aerodrome, Queensland, Australia",-27.5707,153.0085,Australia,Oceania
"Arequipa, Peru",-16.409,-71.5375,Peru,Americas
"Argunovo, Russia",55.3756,37.7665,Russia,Europe
"Arkansas Pass, Texas",27.912,-97.1583,United States,Americas
"Arlington, Virginia",38.8799,-77.106,United States,Americas
"Arlington, Virginia.",38.8799,-77.106,United States,Americas
"Armstrong, ON, Canada",50.2947,-88.9017,Canada,Americas
"Arran, Scotland",55.5833,-5.25,Scotland,Europe
"Aru, Democratic Republic Cogo",2.4466,21.791,Democratic Republic of Congo,Africa
"Asbury Park, New Jersey",40.2204,-74.0121,United States,Americas
"Ashgabat, Turkmenistan",37.9601,58.3261,Turkmenistan,Asia
"Asmara, Eritrea",15.3229,38.925,Eritrea,Africa
"Assam, India",26.2006,92.9376,India,Asia
"Asuncion, Paraguay",-25.2637,-57.5759,Paraguay,Americas
"Athens, Greece",37.9838,23.7275,Greece,Europe
"Atlanta, Georgia",33.749,-84.388,United States,Americas
"Atlanta, Missouri",40.2076,-94.0146,United States,Americas
"Atlantic City, New Jersey",39.3643,-74.4229,United States,Americas
Atlantic Ocean,47.7373,-46.5975,Atlantic Ocean,Atlantic Ocean
Atlantic Ocean between N.Y. and Bermuda,30.0,-70.0,Atlantic Ocean,Atlantic Ocean
Atlantic Ocean off Florida,27.9944,-80.519,Atlantic Ocean,Atlantic Ocean
"Atlantic Ocean, 110 miles West of Ireland",52.1934,-12.6658,Atlantic Ocean,Atlantic Ocean
"Atlantic Ocean, 570 miles northeast of Natal, Brazil",-3.9858,-35.1538,Atlantic Ocean,Atlantic Ocean
"Atlantic Ocean, NE of Bermuda",32.3011,-63.0416,Atlantic Ocean,Atlantic Ocean
"Atlantic Ocean, off Angola",-13.8167,8.9167,Atlantic Ocean,Atlantic Ocean
"Atlantic Ocean, off Bermuda",32.3011,-64.76,Atlantic Ocean,Atlantic Ocean
"Atsugi, Japan",35.4427,139.4519,Japan,Asia
"Auburn, Maine",44.0979,-70.2312,United States,Americas
"Aubusson, France",45.9542,2.1662,France,Europe
"Auckland, New Zealand",-36.8485,174.7633,New Zealand,Oceania
