ac_type,ac_type_clasif1,ac_type_clasif2
A-7D Corsair,Avión militar,Avión
AAC-1 Toucan,Avión militar,Avión
AEGK,Avión militar,Avión
AT L98 Carvair,Avión de carga,Avión
ATR 42-300,Avión comercial de pasajeros,Avión
ATR 42-320,Avión comercial de pasajeros,Avión
ATR 72-201,Avión comercial de pasajeros,Avión
ATR 72-212,Avión comercial de pasajeros,Avión
ATR 72-500,Avión comercial de pasajeros,Avión
ATR 72-600,Avión comercial de pasajeros,Avión
ATR-42-300,Avión comercial de pasajeros,Avión
ATR-42-320,Avión comercial de pasajeros,Avión
ATR-42-500,Avión comercial de pasajeros,Avión
ATR-72-202,Avión comercial de pasajeros,Avión
ATR-72-212,Avión comercial de pasajeros,Avión
ATR-72-212A,Avión comercial de pasajeros,Avión
ATR-72-50,Avión comercial de pasajeros,Avión
ATR42-320,Avión comercial de pasajeros,Avión
Aero Commander  520,Avión ejecutivo,Avión
Aero Commander 500-B,Avión ejecutivo,Avión
Aero Commander 500A,Avión ejecutivo,Avión
Aero Commander 680,Avión ejecutivo,Avión
Aero Commander 680E,Avión ejecutivo,Avión
Aero Commander 680F,Avión ejecutivo,Avión
Aero Commander AC 520,Avión ejecutivo,Avión
Aerocomp Comp Air 8,Avión ligero,Avión
Aeroflot,Avión comercial de pasajeros,Avión
Aeromarine Model 85 (flying boat),Hidroavión de transporte y pasajeros,Hidroavión
Aerospatiale 330G Puma,Helicóptero militar,Helicóptero
Aerospatiale 330J Puma,Helicóptero militar,Helicóptero
Aerospatiale 350B1,Helicóptero civil,Helicóptero
Aerospatiale AS 332L1 Super Puma,Helicóptero civil,Helicóptero
Aerospatiale AS 350B2 Ecureuil,Helicóptero civil,Helicóptero
Aerospatiale AS-350 B2 Ecureuil,Helicóptero civil,Helicóptero
Aerospatiale AS-350B,Helicóptero civil,Helicóptero
Aerospatiale AS350,Helicóptero civil,Helicóptero
Aerospatiale AS350 Eurocopter  helicoper,Helicóptero civil,Helicóptero
Aerospatiale AS350BA,Helicóptero civil,Helicóptero
Aerospatiale AS350BA Rotocraft,Helicóptero civil,Helicóptero
Aerospatiale AS350D,Helicóptero civil,Helicóptero
Aerospatiale AS355-F1,Helicóptero civil,Helicóptero
Aerospatiale ATR-42-300,Avión comercial de pasajeros,Avión
Aerospatiale ATR-42-512,Avión comercial de pasajeros,Avión
Aerospatiale Alenia ATR-42,Avión comercial de pasajeros,Avión
Aerospatiale Alenia ATR-42-312,Avión comercial de pasajeros,Avión
